,base,id,coords,Latitude,Longitude
0,Vandenberg,68-SLTF,"(34.806944, -120.549444)",34.806944,-120.549444
1,Vandenberg,395-B,"(34.7825, -120.607222)",34.7825,-120.607222
2,Vandenberg,395-C,"(34.734444, -120.596667)",34.734444,-120.596667
3,Vandenberg,395-D,"(34.707778, -120.589722)",34.707778,-120.589722
4,Davis-Monthan,CE 1SEQ 570-9SAC 570-1Oracle,"(32.5975, -110.888889)",32.5975,-110.888889
5,Davis-Monthan,CE 2SEQ 571-16SAC 571-1Benson,"(31.982222, -110.185556)",31.982222,-110.185556
6,Davis-Monthan,CE 3SEQ 571-15SAC 571-2Benson,"(31.959167, -110.373889)",31.959167,-110.373889
7,Davis-Monthan,CE 4SEQ 571-17SAC 571-3Mescal,"(31.971389, -110.508333)",31.971389,-110.508333
8,Davis-Monthan,CE 5SEQ 571-18SAC 571-4Pantano,"(31.956944, -110.663056)",31.956944,-110.663056
9,Davis-Monthan,CE 6SEQ 571-14SAC 571-5Continental,"(31.753611, -110.890833)",31.753611,-110.890833
10,Davis-Monthan,CE 7SEQ 571-12SAC 571-6Amado,"(31.644167, -111.070833)",31.644167,-111.070833
11,Davis-Monthan,CE 8SEQ 571-13SAC 571-7Continental,"(31.903333, -110.998889)",31.903333,-110.998889
12,Davis-Monthan,CE 9SEQ 570-3SAC 571-8Palo Alto,"(31.888056, -111.389167)",31.888056,-111.389167
13,Davis-Monthan,CE 10SEQ 570-2SAC 571-9Three Points,"(32.004722, -111.355278)",32.004722,-111.355278
14,Davis-Monthan,CE 11SEQ 570-1SAC 570-2Three Points,"(32.100833, -111.2625)",32.100833,-111.2625
15,Davis-Monthan,CE 12SEQ 570-7SAC 570-3Rillito,"(32.367778, -111.461944)",32.367778,-111.461944
16,Davis-Monthan,CE 13SEQ 570-6SAC 570-4Rillito,"(32.359167, -111.318056)",32.359167,-111.318056
17,Davis-Monthan,CE 14SEQ 570-5SAC 570-5Rillito,"(32.523333, -111.239167)",32.523333,-111.239167
18,Davis-Monthan,CE 15SEQ 570-4SAC 570-6Rillito,"(32.427778, -111.1375)",32.427778,-111.1375
19,Davis-Monthan,CE 16SEQ 570-8SAC 570-7Oracle Junction,"(32.748611, -111.116111)",32.748611,-111.116111
